"Port";"Description"
0;"In programming APIs (not in communication between hosts), requests a system-allocated (dynamic) port"
1;"TCP Port Service Multiplexer (TCPMUX)"
2;"compressnet (Management Utility)"
3;"compressnet (Compression Process)"
5;"Remote Job Entry was historically using socket 5 in its old socket form"
7;"Echo Protocol"
9;"Discard Protocol"
9;"Wake-on-LAN"
11;"Active Users (systat service)"
13;"Daytime Protocol"
15;"Previously netstat service"
17;"Quote of the Day (QOTD)"
18;"Message Send Protocol"
19;"Character Generator Protocol (CHARGEN)"
20;"File Transfer Protocol (FTP) data transfer"
21;"File Transfer Protocol (FTP) control (command)"
22;"Secure Shell (SSH), secure logins, file transfers (SCP, SFTP) and port forwarding"
23;"Telnet protocol-unencrypted text communications"
25;"Simple Mail Transfer Protocol (SMTP), used for email routing between mail servers"
27;"nsw-fe (NSW User System FE)"
28;"Palo Alto Networks Panorama High Availability (HA) sync encrypted port"
29;"msg-icp (MSG ICP)"
31;"msg-auth (MSG Authentication)"
33;"dsp (Display Support Protocol)"
37;"Time Protocol"
38;"rap (Route Access Protocol)"
39;"rlp (Resource Location Protocol)"
41;"graphics (Graphics)"
42;"Host Name Server Protocol"
43;"WHOIS protocol"
44;"mpm-flags (MPM FLAGS Protocol)"
45;"mpm (Message Processing Module)"
46;"mpm-snd (MPM [default send])"
48;"auditd (Digital Audit Daemon)"
49;"TACACS Login Host protocol. TACACS+"
50;"re-mail-ck (Remote Mail Checking Protocol)"
51;"Historically used for Interface Message Processor logical address management"
52;"Xerox Network Systems (XNS) Time Protocol"
53;"Domain Name System (DNS)"
54;"Xerox Network Systems (XNS) Clearinghouse (Name Server)"
55;"isi-gl (ISI Graphics Language)"
56;"Xerox Network Systems (XNS) Authentication Protocol"
58;"Xerox Network Systems (XNS) Mail"
61;"Historically assigned to the NIFTP-Based Mail protocol"
62;"acas (ACA Services)"
63;"whoispp (whois++)"
64;"covia (Communications Integrator (CI))"
65;"tacacs-ds (TACACS-Database Service)"
66;"sql-net (Oracle SQL*NET)"
67;"Bootstrap Protocol (BOOTP) server, also used by Dynamic Host Configuration Protocol (DHCP)"
